instance,tw,detkdecomp
hypergraphs_cnf-2-40-0100-730621.xml.hg,-1,TO
hypergraphs_cnf-2-40-0100-730622.xml.hg,-1,TO
hypergraphs_cnf-2-40-0100-730623.xml.hg,-1,TO
hypergraphs_cnf-2-40-0100-730624.xml.hg,-1,TO
hypergraphs_cnf-2-40-0100-730625.xml.hg,-1,TO
hypergraphs_cnf-2-40-0100-730626.xml.hg,-1,TO
hypergraphs_cnf-2-40-0100-730627.xml.hg,-1,TO
hypergraphs_cnf-2-40-0100-730628.xml.hg,-1,TO
hypergraphs_cnf-2-40-0100-730629.xml.hg,-1,TO
hypergraphs_cnf-2-40-0100-730630.xml.hg,-1,TO
hypergraphs_cnf-2-80-0100-735541.xml.hg,-1,TO
hypergraphs_cnf-2-80-0100-735542.xml.hg,-1,TO
hypergraphs_cnf-2-80-0100-735543.xml.hg,-1,TO
hypergraphs_cnf-2-80-0100-735544.xml.hg,-1,TO
hypergraphs_cnf-2-80-0100-735545.xml.hg,-1,TO
hypergraphs_cnf-2-80-0100-735546.xml.hg,-1,TO
hypergraphs_cnf-2-80-0100-735547.xml.hg,-1,TO
hypergraphs_cnf-2-80-0100-735548.xml.hg,-1,TO
hypergraphs_cnf-2-80-0100-735549.xml.hg,-1,TO
hypergraphs_cnf-2-80-0100-735550.xml.hg,-1,TO
hypergraphs_cnf-3-40-0100-730621.xml.hg,-1,TO
hypergraphs_cnf-3-40-0100-730622.xml.hg,-1,TO
hypergraphs_cnf-3-40-0100-730623.xml.hg,-1,TO
hypergraphs_cnf-3-40-0100-730624.xml.hg,-1,TO
hypergraphs_cnf-3-40-0100-730625.xml.hg,-1,TO
hypergraphs_cnf-3-40-0100-730626.xml.hg,-1,TO
hypergraphs_cnf-3-40-0100-730627.xml.hg,-1,TO
hypergraphs_cnf-3-40-0100-730628.xml.hg,-1,TO
hypergraphs_cnf-3-40-0100-730629.xml.hg,-1,TO
hypergraphs_cnf-3-40-0100-730630.xml.hg,-1,TO
hypergraphs_cnf-3-80-0100-735541.xml.hg,-1,TO
hypergraphs_cnf-3-80-0100-735542.xml.hg,-1,TO
hypergraphs_cnf-3-80-0100-735543.xml.hg,-1,TO
hypergraphs_cnf-3-80-0100-735544.xml.hg,-1,TO
hypergraphs_cnf-3-80-0100-735545.xml.hg,-1,TO
hypergraphs_cnf-3-80-0100-735546.xml.hg,-1,TO
hypergraphs_cnf-3-80-0100-735547.xml.hg,-1,TO
hypergraphs_cnf-3-80-0100-735548.xml.hg,-1,TO
hypergraphs_cnf-3-80-0100-735549.xml.hg,-1,TO
hypergraphs_cnf-3-80-0100-735550.xml.hg,-1,TO
hypergraphs_cril-0_X2.xml.hg,4,10.55
hypergraphs_deep100-q01.hg,1,0.25
hypergraphs_deep100-q02.hg,1,0.18
hypergraphs_deep100-q03.hg,1,0.11
hypergraphs_deep100-q04.hg,1,0.1
hypergraphs_deep100-q05.hg,1,0.1
hypergraphs_deep100-q06.hg,1,0.2
hypergraphs_deep100-q07.hg,1,0.14
hypergraphs_deep100-q08.hg,1,0.16
hypergraphs_deep100-q09.hg,1,0.19
hypergraphs_deep100-q10.hg,1,0.19
hypergraphs_deep100-q11.hg,1,0.24
hypergraphs_deep100-q12.hg,1,0.16
hypergraphs_deep100-q13.hg,1,0.28
hypergraphs_deep100-q14.hg,1,0.26
hypergraphs_deep100-q15.hg,1,0.23
hypergraphs_deep100-q16.hg,1,0.27
hypergraphs_deep100-q17.hg,1,0.26
hypergraphs_deep100-q18.hg,1,0.23
hypergraphs_deep100-q19.hg,1,0.24
hypergraphs_deep100-q20.hg,1,0.3
hypergraphs_deep200-q01.hg,1,0.18
hypergraphs_deep200-q02.hg,1,0.2
hypergraphs_deep200-q03.hg,1,0.2
hypergraphs_deep200-q04.hg,1,0.22
hypergraphs_deep200-q05.hg,1,0.18
hypergraphs_deep200-q06.hg,1,0.16
hypergraphs_deep200-q07.hg,1,0.16
hypergraphs_deep200-q08.hg,1,0.22
hypergraphs_deep200-q09.hg,1,0.24
hypergraphs_deep200-q10.hg,1,0.13
hypergraphs_deep200-q11.hg,1,0.21
hypergraphs_deep200-q12.hg,1,0.24
hypergraphs_deep200-q13.hg,1,0.22
hypergraphs_deep200-q14.hg,1,0.18
hypergraphs_deep200-q15.hg,1,0.22
hypergraphs_deep200-q16.hg,1,0.28
hypergraphs_deep200-q17.hg,1,0.23
hypergraphs_deep200-q18.hg,1,0.27
hypergraphs_deep200-q19.hg,1,0.22
hypergraphs_deep200-q20.hg,1,0.24
hypergraphs_deep300-queries.hg,1,0.21
hypergraphs_doctors100k-q08.hg,1,0.23
hypergraphs_doctors100k-q09.hg,1,0.25
hypergraphs_doctors10k-q08.hg,1,0.2
hypergraphs_doctors10k-q09.hg,1,0.24
hypergraphs_doctors1m-q08.hg,1,0.21
hypergraphs_doctors1m-q09.hg,1,0.19
hypergraphs_doctors500k-q01.hg,1,0.25
hypergraphs_doctors500k-q02.hg,1,0.21
hypergraphs_doctors500k-q03.hg,1,0.19
hypergraphs_doctors500k-q04.hg,1,0.19
hypergraphs_doctors500k-q05.hg,1,0.24
hypergraphs_doctors500k-q07.hg,1,0.21
hypergraphs_doctors500k-q08.hg,1,0.26
hypergraphs_doctors500k-q09.hg,1,0.17
hypergraphs_Dubois-015.xml.hg,2,0.32
hypergraphs_Dubois-016.xml.hg,2,0.31
hypergraphs_Dubois-017.xml.hg,2,0.36
hypergraphs_Dubois-018.xml.hg,2,0.37
hypergraphs_Dubois-019.xml.hg,2,0.38
hypergraphs_Dubois-020.xml.hg,2,0.41
hypergraphs_Dubois-021.xml.hg,2,0.38
