instance,tw,gus_ip,triang_phyl_maxcomp,binred_ip_pp
phylogeny_ms_exp1_k_26_12.phy,-1,TO,TO,TO
phylogeny_ms_exp1_k_26_13.phy,-1,TO,TO,MO
phylogeny_ms_exp1_k_26_14.phy,-1,TO,TO,MO
phylogeny_ms_exp1_k_26_15.phy,-1,TO,TO,MO
phylogeny_ms_exp1_k_26_16.phy,8,533.06,40.42,MO
phylogeny_ms_exp1_k_26_17.phy,-1,TO,TO,TO
phylogeny_ms_exp1_k_26_18.phy,23,766.47,136.5,1157.62
phylogeny_ms_exp1_k_26_19.phy,75,TO,2256.17,MO
phylogeny_ms_exp1_k_26_1.phy,2,442.47,101.71,TO
phylogeny_ms_exp1_k_26_2.phy,49,TO,110.71,2015.53
phylogeny_ms_exp1_k_26_3.phy,71,TO,1120.65,TO
phylogeny_ms_exp1_k_26_4.phy,-1,TO,TO,TO
phylogeny_ms_exp1_k_26_5.phy,-1,TO,TO,TO
phylogeny_ms_exp1_k_26_6.phy,-1,TO,TO,MO
phylogeny_ms_exp1_k_26_7.phy,-1,TO,TO,MO
phylogeny_ms_exp1_k_26_8.phy,-1,TO,TO,MO
phylogeny_ms_exp1_k_26_9.phy,35,2486.22,51.0,MO
phylogeny_ms_exp1_k_2_6.phy,6,1.13,0.73,0.53
phylogeny_ms_exp1_k_2_7.phy,4,1.29,0.73,0.58
phylogeny_ms_exp1_k_28_0.phy,-1,TO,TO,MO
phylogeny_ms_exp1_k_28_10.phy,-1,TO,TO,MO
phylogeny_ms_exp1_k_28_11.phy,79,601.7,63.16,TO
phylogeny_ms_exp1_k_28_12.phy,87,TO,553.82,TO
phylogeny_ms_exp1_k_28_13.phy,15,TO,106.76,MO
phylogeny_ms_exp1_k_28_14.phy,-1,TO,TO,MO
phylogeny_ms_exp1_k_28_15.phy,-1,TO,TO,MO
phylogeny_ms_exp1_k_28_16.phy,-1,TO,TO,MO
phylogeny_ms_exp1_k_28_17.phy,-1,TO,TO,MO
phylogeny_ms_exp1_k_28_18.phy,15,9.32,10.33,MO
phylogeny_ms_exp1_k_28_19.phy,30,TO,533.21,TO
phylogeny_ms_exp1_k_28_1.phy,-1,TO,TO,MO
phylogeny_ms_exp1_k_28_2.phy,18,TO,2795.7,TO
phylogeny_ms_exp1_k_28_3.phy,56,36.43,11.13,MO
phylogeny_ms_exp1_k_28_4.phy,-1,TO,TO,MO
phylogeny_ms_exp1_k_28_5.phy,-1,TO,TO,TO
phylogeny_ms_exp1_k_28_6.phy,25,72.6,29.29,TO
phylogeny_ms_exp1_k_28_7.phy,-1,TO,TO,MO
phylogeny_ms_exp1_k_28_8.phy,48,TO,3090.43,TO
phylogeny_ms_exp1_k_28_9.phy,-1,TO,TO,TO
phylogeny_ms_exp1_k_2_8.phy,18,1.28,0.77,0.59
phylogeny_ms_exp1_k_2_9.phy,38,1.26,1.26,0.65
phylogeny_ms_exp1_k_30_0.phy,-1,TO,TO,MO
phylogeny_ms_exp1_k_30_10.phy,-1,TO,TO,TO
phylogeny_ms_exp1_k_30_11.phy,-1,TO,TO,MO
phylogeny_ms_exp1_k_30_12.phy,-1,TO,TO,MO
phylogeny_ms_exp1_k_30_13.phy,-1,TO,TO,MO
phylogeny_ms_exp1_k_30_14.phy,33,TO,954.83,TO
phylogeny_ms_exp1_k_30_15.phy,91,TO,1535.65,MO
phylogeny_ms_exp1_k_30_16.phy,-1,TO,TO,MO
phylogeny_ms_exp1_k_30_17.phy,-1,TO,TO,TO
phylogeny_ms_exp1_k_30_18.phy,-1,TO,TO,MO
phylogeny_ms_exp1_k_30_19.phy,-1,TO,TO,MO
phylogeny_ms_exp1_k_30_1.phy,-1,TO,TO,TO
phylogeny_ms_exp1_k_30_2.phy,-1,TO,TO,TO
phylogeny_ms_exp1_k_30_3.phy,-1,TO,TO,TO
phylogeny_ms_exp1_k_30_4.phy,-1,TO,TO,MO
phylogeny_ms_exp1_k_30_5.phy,16,14.81,8.95,MO
phylogeny_ms_exp1_k_30_6.phy,-1,TO,TO,TO
